Protocol,Model,Held_Out_Attack,Runs,Accuracy_Mean,Balanced_Accuracy_Mean,Attack_Recall_Mean,F1_Mean,MCC_Mean,PR_AUC_Mean,FPR_Mean,FNR_Mean
unseen,logistic_regression,DoS Hulk,3,0.7382433333333335,0.7715263070620667,0.7257431609504893,0.8272302461739525,0.39132996252007984,0.9775909545318179,0.18269054682635608,0.2742568390495106
unseen,logistic_regression,DoS Slowhttptest,3,0.841695,0.5219890130249035,0.18464677378219838,0.05748320829918527,0.020120352086733732,0.1167134577377894,0.14066874773239132,0.8153532262178015
unseen,logistic_regression,DoS slowloris,3,0.84781,0.623828090008168,0.3871308016877637,0.12023677105011589,0.11336399810869985,0.0600427557651406,0.13947462167142785,0.6128691983122363
unseen,logistic_regression,FTP-Patator,3,0.8537016666666667,0.7657119120656318,0.672174450626651,0.21417395474871045,0.2481293200288112,0.09965158374274792,0.14075062649538736,0.32782554937334907
unseen,logistic_regression,Heartbleed,3,0.8561633333333334,0.4432558942256976,0.0303030303030303,2.295130879838423e-05,-0.0024012289639864996,3.559854982071191e-05,0.14379124185163514,0.9696969696969697
unseen,logistic_regression,Infiltration,3,0.85631,0.48377763552995084,0.1111111111111111,0.00027831097613183333,-0.0012412578401187666,0.00025756641796606663,0.14355584005120917,0.8888888888888888
unseen,logistic_regression,PortScan,3,0.5098066666666666,0.46415582886314444,0.0016346758386034336,0.0029965729063131663,-0.17982879015469408,0.42423701073053804,0.07332301811231452,0.9983653241613966
unseen,logistic_regression,SSH-Patator,3,0.8466633333333333,0.4346874659354015,0.009009009009009,0.0018879779232428334,-0.04772732317540277,0.03550921563455894,0.13963407713820605,0.990990990990991
unseen,logistic_regression,Web Attack - Brute Force,3,0.8510966666666667,0.4300497431632704,0.0027210884353741,0.0002685774865125333,-0.03427601549718097,0.014779888746570767,0.1426216021088332,0.997278911564626
unseen,logistic_regression,Web Attack - SQL Injection,3,0.8561833333333334,0.5709787622938504,0.2857142857142857,0.00041704419862976665,0.004145864111501533,0.00024191154502373332,0.14375676112658495,0.7142857142857143
unseen,logistic_regression,Web Attack - XSS,3,0.8538916666666667,0.4443938517686266,0.0322085889570552,0.0014353005113790665,-0.0181057207776108,0.007270677678431733,0.14342088541980183,0.9677914110429447
unseen,random_forest,Bot,3,0.9899133333333333,0.49982496179454555,0.0,0.0,-0.0018450820250489,0.030190876845038395,0.0003500764109089,1.0
unseen,random_forest,DDoS,3,0.7662766666666666,0.8172926867246207,0.6351641655795205,0.7767266046768131,0.6200609843656663,0.9959881317749684,0.0005787921302790668,0.36483583442047945
unseen,random_forest,DoS GoldenEye,3,0.97341,0.7460686985416878,0.4926732801659859,0.6557636683225397,0.6850385017245898,0.9185204786014242,0.0005358830826103,0.5073267198340141
unseen,random_forest,DoS Hulk,3,0.41500166666666666,0.661031258115096,0.322599697736498,0.4840853098607294,0.24692740033970564,0.9993638283067012,0.0005371815063057333,0.6774003022635021
unseen,random_forest,DoS Slowhttptest,3,0.981075,0.6475932776425337,0.2957153787299158,0.44959888985645957,0.5208183632691394,0.6747600973716122,0.0005288234448482667,0.7042846212700842
unseen,random_forest,DoS slowloris,3,0.9966133333333334,0.946731731049527,0.894018366840407,0.934123776804427,0.9333849934806384,0.9553990396081424,0.0005549047413526667,0.1059816331595929
unseen,random_forest,FTP-Patator,3,0.9698349999999999,0.5000368703821336,0.0006182206485696,0.0012137311909380666,0.0005314651547830333,0.861501694273134,0.0005444798843022667,0.9993817793514302
unseen,random_forest,Heartbleed,3,0.9993783333333334,0.49971665108247615,0.0,0.0,-0.0001764654295072333,0.002219557853567267,0.0005666978350475334,1.0
unseen,random_forest,Infiltration,3,0.9992383333333333,0.4997091143072419,0.0,0.0,-0.00032342596364486666,0.004811900588742199,0.0005817713855160333,1.0
unseen,random_forest,PortScan,3,0.549905,0.5006619580905108,0.0017456266873774,0.0034833658926575334,0.0206437659683954,0.7896665943276931,0.00042171050635593336,0.9982543733126223
unseen,random_forest,SSH-Patator,3,0.9834566666666666,0.5027260453698982,0.006006006006005933,0.011549216577124932,0.0271228293354849,0.39562453624466204,0.0005539152662095999,0.993993993993994
unseen,random_forest,Web Attack - Brute Force,3,0.99818,0.9143412585907781,0.8292517006802721,0.8700960819114756,0.8702853487579721,0.8580927344417283,0.0005691834987155,0.17074829931972788
unseen,random_forest,Web Attack - SQL Injection,3,0.9993599999999999,0.7457383818951784,0.4920634920634921,0.13986964189862736,0.20001721258342076,0.049948724217982965,0.0005867282731352666,0.5079365079365078
unseen,random_forest,Web Attack - XSS,3,0.9992333333333333,0.965473866071286,0.9314928425357873,0.8880154509085236,0.8886641673507153,0.8108312491177997,0.0005451103932151333,0.06850715746421264
unseen,xgboost,Bot,3,0.9898516666666666,0.49979382519069065,0.0,0.0,-0.0019991617013524667,0.0399165817103955,0.0004123496186186333,1.0
unseen,xgboost,DDoS,3,0.763705,0.8152340981280135,0.6312738749013757,0.7737492503560813,0.6166197308440761,0.9924465962695784,0.0008056786453485,0.3687261250986243
unseen,xgboost,DoS GoldenEye,3,0.9835816666666668,0.8471113121791797,0.6950009725734293,0.8128778703579712,0.8176906296883185,0.987558465097026,0.0007783482150700334,0.30499902742657065
unseen,xgboost,DoS Hulk,3,0.920535,0.9536055780021803,0.9081145976286019,0.9517297632661682,0.7580625806771703,0.9998996787637037,0.0009034416242414666,0.09188540237139804
unseen,xgboost,DoS Slowhttptest,3,0.9833316666666668,0.6951947072973108,0.3911629686304514,0.5509187234393108,0.5977561434701012,0.9459476719207293,0.0007735540358299,0.6088370313695486
unseen,xgboost,DoS slowloris,3,0.9991450000000001,0.9982031073930968,0.9972077438570365,0.9842918677340747,0.983940581100013,0.9879404808317437,0.0008015290708428,0.0027922561429635
unseen,xgboost,FTP-Patator,3,0.9788350000000001,0.6559499857036916,0.3127072444219637,0.4670278098210634,0.5302767785264394,0.8863932720020161,0.0008072730145806667,0.6872927555780363
unseen,xgboost,Heartbleed,3,0.9991333333333333,0.49959414434460553,0.0,0.0,-0.00021122006575506668,0.0010270981805452,0.0008117113107887,1.0
unseen,xgboost,Infiltration,3,0.9990100000000001,0.4995949270868756,0.0,0.0,-0.0003818673838205333,0.0007869326486141334,0.0008101458262486667,1.0
unseen,xgboost,PortScan,3,0.5517916666666667,0.5027804807481663,0.006213247531343567,0.012339585964183634,0.049267443191820866,0.8773707523970128,0.0006522860350109999,0.9937867524686563
unseen,xgboost,SSH-Patator,3,0.983275,0.5050273867433465,0.0108729419074246,0.020496014265521865,0.0404697335615784,0.6004771519539707,0.0008181684207316333,0.9891270580925754
unseen,xgboost,Web Attack - Brute Force,3,0.9985033333333333,0.9531050614305395,0.9070294784580498,0.8984643330043599,0.8979796575138037,0.9281615867018016,0.0008193555969710333,0.09297052154195011
unseen,xgboost,Web Attack - SQL Injection,3,0.99919,0.9123025377982149,0.8253968253968255,0.17628011391129828,0.2851316487621471,0.10977121146014636,0.0007917498003956667,0.17460317460317454
